----------------------------------------------------------
Записать парад Победы	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.660	Ремонт -> Электроника = 0.203	Другое = 0.137
	производитель часов(1;0.3;побед)
Оператор на первую в Москве неделю моды Plus size	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Одолжить вспышку	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Оператор квадрокоптера	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Виртуально разрезать на 2 части лист	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Урезать песню до 3,5-4 минут	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Необходимо отфоткать 10 наборов	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Фото-услуга	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Оцифровка видеокассет	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Скорректировать фоторграфию	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

10.12.2013 пофотографировать на выставке здоровье-2013 в экспоцентре	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127




----------------------------------------------------------

Сделать короткий видеофильм для юбиляра	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Придумать и сделать заставку	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127
	придумать(1;1.0;придума)
Сделать фотокнигу	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Сделать 18 фотоколлажей	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Сделать профессиональный портрет	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Сделать фотоотчёт о Промо-акции	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Сделать фото-макет	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Провести видеонаблюдение	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.644	Другое = 0.330	Ремонт -> Электроника = 0.026
	провести(1;1.0;провест)
Необходимо сделать качественно несколько снимков ладони	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127




----------------------------------------------------------

Поменять замок на двери	BAD weak-match	Бытовой ремонт
	Бытовой ремонт = 0.356	Ремонт -> Электроника = 0.220	Фото- и видео-услуги = 0.204	Ремонт -> Электроника -> Планшеты и телефоны = 0.122	Ремонт -> Компьютеры и ноутбуки = 0.049	Другое = 0.045	Ремонт -> Электроника -> Аудиотехника и системы = 0.005
	замена(1;1.0;поменя), части дома(1;1.0;двер)
Замена датчика теплого пола	BAD weak-match	Бытовой ремонт
	Бытовой ремонт = 0.356	Ремонт -> Электроника = 0.220	Фото- и видео-услуги = 0.204	Ремонт -> Электроника -> Планшеты и телефоны = 0.122	Ремонт -> Компьютеры и ноутбуки = 0.049	Другое = 0.045	Ремонт -> Электроника -> Аудиотехника и системы = 0.005
	замена(1;1.0;зам), части дома(1;1.0;пол)
Заменить личинку во входной двери	BAD weak-match	Бытовой ремонт
	Бытовой ремонт = 0.356	Ремонт -> Электроника = 0.220	Фото- и видео-услуги = 0.204	Ремонт -> Электроника -> Планшеты и телефоны = 0.122	Ремонт -> Компьютеры и ноутбуки = 0.049	Другое = 0.045	Ремонт -> Электроника -> Аудиотехника и системы = 0.005
	замена(1;1.0;замен), части дома(1;1.0;двер)



----------------------------------------------------------

Наклеить защитную пленку на экраны	BAD weak-match	Ремонт -> Электроника
	Ремонт -> Электроника = 0.526	Фото- и видео-услуги = 0.460	Другое = 0.014
	мобильные аксессуары(1;1.0;защитн пленк), экран(1;1.0;экра)



----------------------------------------------------------

Создать презентацию	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.743	Ремонт -> Электроника = 0.157	Другое = 0.100
	презентация(1;1.0;презентац), создать(1;1.0;созда)



----------------------------------------------------------

Настройка принтера EPSON L800	BAD weak-match	Ремонт -> Электроника
	Ремонт -> Электроника = 0.501	Фото- и видео-услуги = 0.387	Другое = 0.111
	настройка(1;1.0;настройк), офисная техника(1;1.0;принтер)
Настроить принтер в офисе	BAD weak-match	Ремонт -> Электроника
	Ремонт -> Электроника = 0.501	Фото- и видео-услуги = 0.387	Другое = 0.111
	офис(1;1.0;офис), офисная техника(1;1.0;принтер), настройка(1;1.0;настро)



----------------------------------------------------------

Надо составить 10 фотоотчетов по проведенным работам	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.740	Ремонт -> Электроника = 0.156	Другое = 0.100	Ремонт -> Компьютеры и ноутбуки = 0.004
	создать(1;1.0;состав), работа(1;1.0;работ)
Создать видеосхему проезда	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.743	Ремонт -> Электроника = 0.157	Другое = 0.100
	создать(1;1.0;созда)
Создание короткого видеопоздравления!	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.743	Ремонт -> Электроника = 0.157	Другое = 0.100
	создать(1;1.0;создан)
Создать слайд-шоу в формате *avi	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.743	Ремонт -> Электроника = 0.157	Другое = 0.100
	создать(1;1.0;созда)
Создание видеопоздравления	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.743	Ремонт -> Электроника = 0.157	Другое = 0.100
	создать(1;1.0;создан)



----------------------------------------------------------

Монтаж видео из фотографий	BAD weak-match	Фото- и видео-услуги -> Обработка и монтаж видео
	Фото- и видео-услуги -> Обработка и монтаж видео = 0.560	Фото- и видео-услуги -> Обработка фото = 0.440
	смонтировать-собрать(1;1.0;монтаж), видео(1;1.0;виде), фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)



----------------------------------------------------------

10 видео обзоров для товаров для Интернет-магазина	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.652	Фото- и видео-услуги -> Обработка и монтаж видео = 0.318	Другое = 0.031
	видео(1;1.0;виде), интернет-магазин(1;1.0;интернет-магазин), товары(1;1.0;товар)
Нужно создать каталог для косметики	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.743	Ремонт -> Электроника = 0.157	Другое = 0.100
	создать(1;1.0;созда)
Нужен дизайнер для создания моноргаммы	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.743	Ремонт -> Электроника = 0.157	Другое = 0.100
	создать(1;1.0;создан)



----------------------------------------------------------

Провести видео-съемку и смонтировать видеоролик	BAD weak-match	Фото- и видео-услуги -> Обработка и монтаж видео
	Фото- и видео-услуги -> Обработка и монтаж видео = 0.608	Другое = 0.392
	провести(1;1.0;провест), видео(1;1.0;видеоролик), смонтировать-собрать(1;1.0;смонтирова)



----------------------------------------------------------

Провести фотосессию для двух человек	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.577	Другое = 0.423
	провести(1;1.0;провест), человек(1;1.0;человек), фото-видео съемка(1;1.0;фотосесс)



----------------------------------------------------------

Починить nokia lumia	BAD weak-match	Ремонт -> Электроника
	Ремонт -> Электроника = 0.651	Бытовой ремонт = 0.140	Ремонт -> Компьютеры и ноутбуки = 0.127	Другое = 0.044	Ремонт -> Электроника -> Аудиотехника и системы = 0.038
	производитель телефонов(1;0.3;nok), производитель аудио(1;0.3;nok), производитель планшетов(1;0.3;nok), ремонт(1;1.0;почин)
Отремонтировать Nokia 720	BAD weak-match	Ремонт -> Электроника
	Ремонт -> Электроника = 0.651	Бытовой ремонт = 0.140	Ремонт -> Компьютеры и ноутбуки = 0.127	Другое = 0.044	Ремонт -> Электроника -> Аудиотехника и системы = 0.038
	производитель телефонов(1;0.3;nok), производитель аудио(1;0.3;nok), производитель планшетов(1;0.3;nok), ремонт(1;1.0;отремонтирова)



----------------------------------------------------------

Заменить плату контроллера в СКУД	BAD weak-match	Ремонт -> Электроника
	Ремонт -> Электроника = 0.346	Фото- и видео-услуги = 0.248	Ремонт -> Электроника -> Планшеты и телефоны = 0.147	Ремонт -> Компьютеры и ноутбуки = 0.138	Другое = 0.079	Ремонт -> Электроника -> Аудиотехника и системы = 0.043
	замена(1;1.0;замен)



----------------------------------------------------------

Сделать не более 10 фотографий на смартфон в усадьбе Деда Мороза	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.668	Помощь -> Виртуальная = 0.292	Ремонт -> Электроника -> Планшеты и телефоны = 0.039
	фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф), гаджет(1;1.0;смартфон), телефон(1;1.0;смартфон)



----------------------------------------------------------




----------------------------------------------------------

Потекли чернила у струйного принтера	BAD weak-match	Ремонт -> Электроника
	Ремонт -> Электроника = 0.451	Фото- и видео-услуги = 0.449	Другое = 0.100
	офисная техника(1;1.0;принтер)



----------------------------------------------------------

Работа со звуком. Подключить ноут к усилителю.	BAD weak-match	Ремонт -> Электроника -> Аудиотехника и системы
	Ремонт -> Электроника -> Аудиотехника и системы = 0.404	Фото- и видео-услуги = 0.385	Ремонт -> Электроника = 0.137	Другое = 0.074
	подключение(1;1.0;подключ), работа(1;1.0;работ), аудио(1;1.0;усилител)



----------------------------------------------------------

Оцифровать видео с камеры	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.597	Фото- и видео-услуги -> Обработка и монтаж видео = 0.403
	цифровая услуга(1;1.0;оцифрова), видео(1;1.0;виде), фото-видео техника(1;1.0;камер)



----------------------------------------------------------

Повесить полки, починить дверь, сделать устойчивым кран,провести розетки,починить 2 витрины, передвинуть шкаф	BAD weak-match	Бытовой ремонт
	Бытовой ремонт = 0.251	Ремонт -> Электроника -> Офисная техника = 0.208	Ремонт мелкой техники = 0.204	Ремонт -> Электроника -> Видео-фото техника = 0.180	Ремонт -> Электроника -> Аудиотехника и системы = 0.086	Другое = 0.072
	мебель(1;1.0;шкаф), повесить(1;1.0;повес), сантехника(1;1.0;кран), мебель(1;1.0;полк), части дома(1;1.0;двер), провести(1;1.0;провест), ремонт(2;1.0;почин), socket(1;1.0;розетк)
