
Провести диагностику смартфона	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.981	Другое = 0.019
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;отремонтирова), модель телефона(1;0.3;iphon 4), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона iPhone 4s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 4s)
Заменить стекло на iPhone 5s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), стекло(1;1.0;стекл), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5s)
Ремонт планшета Samsung Galaxy tab.2	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Поменять дисплей и стекло на iphone 4	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;поменя), стекло(1;1.0;стекл), модель телефона(1;0.3;iphon 4), экран(1;1.0;диспл), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Заменить сенсорное стекло на Iphone 5s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), стекло(1;1.0;стекл), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5s)
Заменить стекло и дисплей на iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon 5), экран(1;1.0;диспл), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), замена(1;1.0;замен), редактирование(1;1.0;замен), стекло(1;1.0;стекл)
Ремонт телефона Sony Xperia Z 1	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;xper z), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son)
Ремонта телефона iPhone 5S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5s)
Ремонт телефона Nokia Asha 308	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель телефонов(1;0.3;nok), производитель аудио(1;0.3;nok), производитель планшетов(1;0.3;nok), модель телефона(1;0.3;ash 308), ремонт(1;1.0;ремонт)
Отремонтировать телефон Iphone 4s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;отремонтирова), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 4s)
Ремонт телефона Lg Nexus 4/ e960	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;nexus 4), производитель электроники(1;0.3;lg), ремонт(1;1.0;ремонт)
Ремонт планшета ASUS К012	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;asus), гаджет(1;1.0;планшет)
Заменить стекло на iPhone 5c	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 5c), стекло(1;1.0;стекл), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Заменить дисплей на IPad	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.937	Ремонт цифровой техники = 0.063
	гаджет(1;1.0;ipad), замена(1;1.0;замен), редактирование(1;1.0;замен), экран(1;1.0;диспл)
Ремонт планшета PocketBook SurfPad 2	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;pocketbook), производитель планшетов(1;0.3;pocketbook), ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Заменить стекло на iPhone 6	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 6), стекло(1;1.0;стекл), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Отремонтировать ( поменять ) экран iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;поменя), ремонт(1;1.0;отремонтирова), экран(1;1.0;экра), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона iPhone 4S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 4s)
Заменить экран и аккумулятор на iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 5), экран(1;1.0;экра), запчасти(1;1.0;аккумулятор)
Заменить стекло на iPad	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;ipad), замена(1;1.0;замен), редактирование(1;1.0;замен), стекло(1;1.0;стекл)
Ремонт телефона iPhone 5s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5s)
Заменить аккумулятор в iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.986	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.014
	замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), запчасти(1;1.0;аккумулятор)
Ремонт планшета Prestigio	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;prestig), производитель телефонов(1;0.3;prestig), производитель аудио(1;0.3;prestig), производитель смарт-часов(1;0.3;prestig), производитель планшетов(1;0.3;prestig), гаджет(1;1.0;планшет)
Ремонт телефона 3 шт. в Щелково	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт)
Ремонт планшеты Lenovo Yoga	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;lenov), производитель планшетов(1;0.3;lenov), ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Ремонт сотового телефона iPhone 6	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 6), гаджет(1;1.0;сотов), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт китайского телефона Iphone 6	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 6), язык(1;1.0;китайск), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Замена разъема зарядки на планшете	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;зам), зарядное устройство(1;1.0;зарядк), гаджет(1;1.0;планшет)
Ремонт двух iPhone S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона HTC One	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;htc), производитель телефонов(1;0.3;htc), производитель планшетов(1;0.3;htc), модель телефона(1;0.3;on), ремонт(1;1.0;ремонт)
Перепрошить телефона Lenovo k900	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), прошить(1;1.0;перепрош), производитель электроники(1;0.3;lenov), производитель планшетов(1;0.3;lenov), модель телефона(1;0.3;k900)
Ремонт телефона HTC One M7	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;htc), производитель телефонов(1;0.3;htc), производитель планшетов(1;0.3;htc), модель телефона(1;0.3;on), ремонт(1;1.0;ремонт)
Отремонтировать два iPhone 6 и 5S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;отремонтирова), модель телефона(1;0.3;iphon 6), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Отремонтировать телефон: Заменить экран и батарею на iphone 4	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;отремонтирова), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 4), гаджет(1;1.0;телефон), телефон(1;1.0;телефон), экран(1;1.0;экра), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Отремонтировать телефон Samsung Galaxy S4 (матрицу + стекло)	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;отремонтирова), стекло(1;1.0;стекл)
Ремонт телефона iPhone 5S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5s)
Ремонт планшетов HP Slate 7 и Asus Fonepad HD 7 ME372CG	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;планшет), производитель электроники(1;0.3;hp), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;asus)
Ремонт сотового телефона iPhone 6 в Клину	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 6), гаджет(1;1.0;сотов), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Замена стекла и корпуса Iphone	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;зам), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), стекло(1;1.0;стекл)
Ремонт iPhone	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона Xperia Z	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;xper z), ремонт(1;1.0;ремонт)
Ремонт планшета Apple IPad mini	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;ipad), производитель аудио(1;0.3;min), производитель часов(1;0.3;min), модель телефона(1;0.3;min), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;appl), производитель телефонов(1;0.3;appl), производитель смарт-часов(1;0.3;appl), производитель планшетов(1;0.3;appl), гаджет(1;1.0;планшет)
Заменить стекло iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	стекло(1;1.0;стекл), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Поменять стекло на iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;поменя), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 5), стекло(1;1.0;стекл)
Ремонт телефона Sony Xperia SP	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son), модель телефона(1;0.3;xper sp)
Купить и поменять дисплей Sony Xperia Z3	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.959	Ремонт цифровой техники = 0.041
	замена(1;1.0;поменя), модель телефона(1;0.3;xper z3), производитель электроники(1;0.3;son), экран(1;1.0;диспл), купить(1;1.0;куп)
Купить и поменять дисплей Sony Xperia Z3	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.959	Ремонт цифровой техники = 0.041
	замена(1;1.0;поменя), модель телефона(1;0.3;xper z3), производитель электроники(1;0.3;son), экран(1;1.0;диспл), купить(1;1.0;куп)
Заменить тачскрин на Sony c2305	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.935	Ремонт цифровой техники = 0.064	Работа = 0.002
	замена(1;1.0;замен), редактирование(1;1.0;замен), тач-скрин(1;1.0;тачскрин), производитель электроники(1;0.3;son)
Ремонт утопленного iPhone 6	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 6), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт планшета Lenovo TAB A8	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;lenov), производитель планшетов(1;0.3;lenov), ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Отремонтировать домашний радио телефон	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;отремонтирова), домашний(1;1.0;домашн)
Заменить переднее стекло и батарейку Apple iPhone 5s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	запчасти(1;1.0;батарейк), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), производитель электроники(1;0.3;appl), производитель телефонов(1;0.3;appl), производитель смарт-часов(1;0.3;appl), производитель планшетов(1;0.3;appl), стекло(1;1.0;стекл), модель телефона(1;0.3;iphon 5s)
Замена гнезда зарядки на телефона THL W300	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;зам), гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;w300), производитель телефонов(1;0.3;thl), зарядное устройство(1;1.0;зарядк)
Отремонтировать телефон Samsung Galaxy S 4	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;отремонтирова)
Ремонт IPhone 6	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 6)
Ремонт IPhone 4	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 4), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Прошить iPad mini	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.997	Фото- и видео-услуги = 0.003
	гаджет(1;1.0;ipad), производитель аудио(1;0.3;min), производитель часов(1;0.3;min), модель телефона(1;0.3;min), прошить(1;1.0;прош)
Отремонтировать домашний радио телефон	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;отремонтирова), домашний(1;1.0;домашн)
Заменить стекло Samsung N7100 Note 2	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;n7100), стекло(1;1.0;стекл)
Ремонт Apple iPhone 4	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon 4), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;appl), производитель телефонов(1;0.3;appl), производитель смарт-часов(1;0.3;appl), производитель планшетов(1;0.3;appl), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт Apple iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon 5), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;appl), производитель телефонов(1;0.3;appl), производитель смарт-часов(1;0.3;appl), производитель планшетов(1;0.3;appl), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона Sony Experia Z3	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son)
Ремонт экрана телефона	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), экран(1;1.0;экра)
Ремонт телефона IPhone 4	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 4), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Заменить батарею на iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 5)
Ремонт телефона HTC Desire 601	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;htc), производитель телефонов(1;0.3;htc), производитель планшетов(1;0.3;htc), модель телефона(1;0.3;desir), ремонт(1;1.0;ремонт), модель телефона(1;0.3;desir 601)
Ремонт динамика телефона Lenovo S860	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.973	Ремонт цифровой техники -> Аудиотехника и системы = 0.027
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;lenov), производитель планшетов(1;0.3;lenov), аудио(1;1.0;динамик), ремонт(1;1.0;ремонт), модель телефона(1;0.3;s860)
Ремонт планшета ASUS Fonepad 7 FE170CG	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;asus), гаджет(1;1.0;планшет)
Ремонт телефона Highscreen Zera S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;highscre), производитель телефонов(1;0.3;highscre), производитель планшетов(1;0.3;highscre), ремонт(1;1.0;ремонт), модель телефона(1;0.3;zer s)
Заменить Экран iphone 5c	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), модель телефона(1;0.3;iphon 5c), экран(1;1.0;экра), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт iPhone 6	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 6)
Ремонт iPhone 5	OK	Ремонт цифровой техники -> Планшеты и телефоны
