	Строительные услуги			Строительные услуги
	Ремонт под ключ			Ремонт под ключ
				
Мероприятия и промо-акции			Мероприятия и промо-акции	
	Промоутер			Промоутер
	Супервайзер, хостес			Супервайзер, хостес
	Тамада, ведущий, аниматор			Тамада, ведущий, аниматор
	Промо-модель			Промо-модель
	Помощь в проведении мероприятий			Помощь в проведении мероприятий
	Тайный покупатель			Тайный покупатель
	Разнорабочий			Разнорабочий
	Проведение опросов, голосований, и т.д.			
	Раздача промо-материалов			
				
Установка и ремонт техники			Установка и ремонт техники	
	Электрические плиты и панели			Электрические плиты и панели
	Мелкая бытовая техника			Мелкая бытовая техника
	Швейные машины			Швейные машины
	Варочные панели			Варочные панели
	Вытяжки			Вытяжки
	Духовые шкафы			Духовые шкафы
	Кондиционеры и сплит-системы			Кондиционеры и сплит-системы
	Газовые плиты			Газовые плиты
	Посудомоечные машины			Посудомоечные машины
	Холодильники и морозильники			Холодильники и морозильники
	Стиральные машины			Стиральные машины
	Водонагреватели, бойлеры, котлы, колонки			Водонагреватели, бойлеры, котлы, колонки
				
Уборка и помощь по хозяйству			Уборка и помощь по хозяйству	
	Глажка белья			Глажка белья
	Ремонт одежды			Ремонт одежды
	Готовка еды			Приготовление еды
	Уборка квартиры			Регулярная уборка в квартире;Поддерживающая уборка квартиры; Генеральная уборка квартиры
	Вынос мусора			Вынос мусора
	Чистка ковров, мебели			Чистка ковров, мебели
	Мойка окон			Мойка окон
	Сезонная работа на участке			
				
Юридическая помощь			Юридическая помощь	
	Консультация			Консультация
	Помощь при ДТП			Помощь при ДТП
	Защита в суде			Защита в суде
	Сопровождение сделок			Сопровождение сделок
	Оформление документов			Оформление документов
	Составление и подача жалоб, исков			Составление и подача жалоб, исков
	Регистрация, ликвидация компаний			Регистрация, ликвидация компаний
	Составление и проверка договоров			Составление и проверка договоров
				
Web-разработка / Продвижение / SEO			Web-разработка	
	Сайт под ключ			Сайт под ключ
	Разработка приложений и программ			Разработка приложений и программ
	Верстка			Верстка
	Тестирование, юзабилити			Тестирование, юзабилити
	Программирование			Программирование
	Поддержка и помощь по сайту			Поддержка и помощь по сайту
	Маркетинг, реклама, SEO			
				
Красота и здоровье			Красота и здоровье	
	Персональный тренер			Персональный тренер
	Маникюр / Педикюр			Ногтевой сервис
	Прическа / Стилист			Парикмахерские услуги;Стилисты и имиджмейкеры
	Косметология, макияж			Косметология, макияж
	Массаж			Массаж
				
Грузоперевозки			Грузоперевозки	
	Транспортные средства			Транспортные средства
	Пассажирские перевозки			Пассажирские перевозки
	Мебель и бытовая техника			Мебель и бытовая техника
	Междугородные перевозки			Междугородные перевозки
	Негабаритный груз			Негабаритный груз
	Вывоз мусора			Вывоз мусора
	Переезды			Переезды
	Услуги грузчиков			Услуги грузчиков
	Строительные грузы и оборудование			Строительные грузы и оборудование
	Погрузка / разгрузка			
				
Животные				
	Выгул животных			
	Уход / Присмотр			
	Дрессировка			
	Ветеринария			
	Прочее			
				
Бизнес				
	Административная работа			
	Бухгалтерия			
	Аудит			
	Прочее			
				
Страхование				
				
Учеба				
	Дипломы / Курсовые / Рефераты			
	Репетитор / он-лайн обучение			
				
Производство				
Наука / Исследование				
Туризм/Путешествия				
Искусство				
Опросы				
Уникальные задачи				
